| trozo | bits | words | alphabet size | IM(LP,VD) |   
 | C| 6 | 87 | 50 | 15.19866387328354 |  
 | C| 7 | 87 | 50 | 14.989402111727111 |  
 | C| 8 | 87 | 50 | 14.799133325308535 |  
 | C| 1 | 187 | 50 | 0.022555620025688228 |  
 | C| 2 | 187 | 50 | 3.905419984622867 |  
 | C| 3 | 187 | 50 | 11.44656093018402 |  
 | C| 4 | 187 | 50 | 13.919959007218992 |  
 | C| 5 | 187 | 50 | 14.12839383385233 |  
 | C| 6 | 187 | 50 | 14.023636599946261 |  
 | C| 7 | 187 | 50 | 13.858042544195289 |  
 | C| 8 | 187 | 50 | 13.687593791094008 |  
