| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | G| 1 | 1 | 1.570741701395484e-05 |  
 | G| 2 | 2 | 6.234230667878649e-05 |  
 | G| 3 | 3 | 0.000127679616102494 |  
 | G| 4 | 4 | 0.00019729750346031416 |  
 | G| 5 | 5 | 0.0002678342908208897 |  
 | G| 6 | 6 | 0.0003397180367628039 |  
 | G| 7 | 7 | 0.0004149714798176163 |  
 | G| 8 | 8 | 0.0004958100155270095 |  
