| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | C| 1 | 1 | 0.00021652955816814368 |  
 | C| 2 | 2 | 0.0008702967388566907 |  
 | C| 3 | 3 | 0.001993880074185994 |  
 | C| 4 | 4 | 0.0036281078804899503 |  
 | C| 5 | 5 | 0.005634367823536213 |  
 | C| 6 | 6 | 0.008453167394466554 |  
 | C| 7 | 7 | 0.011764165580148367 |  
 | C| 8 | 8 | 0.01569631419352202 |  
