| trozo | bits | stride | IM(LP,VD) |   
| :-: | :-: | :-: | :-: | 
 | R| 1 | 1 | 8.578949466375718e-07 |  
 | R| 2 | 2 | 1.040254142059549e-05 |  
 | R| 3 | 3 | 6.201911050229825e-05 |  
 | R| 4 | 4 | 0.00023556605139596343 |  
 | R| 5 | 5 | 0.0005196633704729337 |  
 | R| 6 | 6 | 0.0011915097837325028 |  
 | R| 7 | 7 | 0.0020845079124680588 |  
 | R| 8 | 8 | 0.004524182369932017 |  
